"year","country","expenses","expense","proc_bvp_dalis"
2012,"Estonia",1092.03,17260,6.32694090382387
2012,"Lithuania",2096.85,12830,16.3433359314108
2013,"Estonia",1187.71,17630,6.7368689733409
2013,"Latvia",1232.72,12750,9.66839215686275
2013,"Lithuania",2146.52,13480,15.9237388724036
2014,"Estonia",1275.47,18280,6.97740700218818
2014,"Latvia",1290.77,13140,9.82321156773212
2014,"Lithuania",2265.58,14100,16.0679432624113
2015,"Estonia",1370.2,18650,7.34691689008043
2015,"Latvia",1388.84,13750,10.1006545454545
2015,"Lithuania",2423.88,14630,16.5678742310321
2016,"Estonia",1457.63,19190,7.59577905158937
2016,"Latvia",1556.09,14230,10.935277582572
2016,"Lithuania",2581.36,15200,16.9826315789474
2017,"Estonia",1572.37,20270,7.75712876171682
2017,"Latvia",1609.73,14850,10.8399326599327
2017,"Lithuania",2732.83,16090,16.9846488502175
2018,"Estonia",1735.2,20970,8.27467811158798
2018,"Latvia",1804.22,15610,11.5581037796284
2018,"Lithuania",2972.32,17030,17.4534351145038
2019,"Estonia",1892.72,21650,8.74235565819861
2019,"Latvia",2029.11,15820,12.8262326169406
2019,"Lithuania",3419.53,17870,19.1355903749301
2020,"Estonia",2081.59,20960,9.93125
2020,"Latvia",2193.54,15370,14.2715679895901
2020,"Lithuania",3727.72,17890,20.836892118502
2021,"Estonia",2351.64,22440,10.479679144385
2021,"Latvia",3038.07,16580,18.3237032569361
2021,"Lithuania",4382.53,19040,23.0174894957983
